AAL-close,AAPL-close,AAP-close,ABBV-close,ABC-close,ABT-close,ACN-close,ADBE-close,ADI-close,ADM-close,ADP-close,ADSK-close,ADS-close,AEE-close,AEP-close,AES-close,AET-close,AFL-close,AGN-close,AIG-close,AIV-close,AIZ-close,AJG-close,AKAM-close,ALB-close,ALGN-close,ALK-close,ALL-close,ALXN-close,AMAT-close
18.12,63.0627,83.63,45.39,54.37,38.56,83.09,42.91,45.48,34.14,70.49,37.07,183.03,34.38,46.56,12.42,60.89,55.11,124.77,45.17,31.22,49.97,44.81,46.56,67.75,36.45,28.095,48.82,101.19,14.87
17.83,63.5642,82.16,43.88,53.9,37.72,82.95,42.6,45.62,33.43,69.77,37.1,181.13,33.73,46.19,12.37,60.29,55.69,122.62,45.52,30.22,49.64,44.46,46.36,67.49,35.97,27.975,48.55,99.24,14.8
17.67,64.5114,82.07,44.55,54.72,37.68,82.84,43.19,46.24,33.31,69.81,37.9,180.97,34.23,46.09,12.31,62.45,56.52,124.23,46.21,30.33,50.58,44.82,47.09,69,36.18,28.12,48.83,101.13,15.25
17.57,64.2478,81.52,42.69,54.08,36.67,82.11,42.91,45.93,32.23,68.72,37.73,177.09,34.04,45.82,12.2,60.38,55.69,123.29,44.46,30.26,49.74,43.68,46.12,66.92,35.75,28.41,48.24,97.58,15.2
17.73,64.3885,82.55,43.36,52.68,37.16,82.1,43.46,45.82,32.65,69.55,37.38,174.03,33.88,46.14,12.29,59.68,56.4,123.57,44.75,30.99,49.58,43.12,45.91,65.74,36.85,28.21,47.47,95.48,15.43
17.65,64.1871,81.99,43.63,53.26,36.8,81.25,44.39,46.13,33,68.97,36.7,176.66,34.02,46.05,12.28,59.36,55.81,119.91,44.1,30.36,48.98,42.94,44.65,65.85,35.88,28.255,46.68,92.56,15.54
16.95,63.5871,81.55,43.04,52.9,36.3,79.58,43.84,45.39,32.6,67.86,36.12,173.58,34.05,45.61,12.07,58.22,55.19,120.34,43.9,29.96,48.62,42.59,44.3,64.79,35.38,27.475,45.86,90.81,15.145
16.64,62.6371,83.23,43.5,52.55,36.64,79.55,43.57,45.47,32.65,67.94,35.97,178.31,34.2,45.67,12.28,59.37,56.57,122,44.86,30.02,49.42,43.16,44.56,64.37,35.19,27.395,46.49,92.92,14.95
17.02,63.1158,84.32,44,52.94,37.51,80.9,44.12,46.21,32.91,68.91,36.65,178.37,34.91,46.15,12.51,60.27,57.03,124.12,45.28,29.79,49.97,43.77,45.26,64.14,35.45,28.705,47.46,94.38,15.49
17.26,62.6985,83.62,43.92,53.71,37.49,81.55,44.09,45.95,33.1,68.78,35.97,176.49,34.26,45.91,12.26,60.97,56.8,125.04,45.95,29.52,50.7,43.71,44.75,63.5,35.29,28.125,47.3,91.91,15.46
