ADA-Open,ADA-High,ADA-Low,ADA-Close,ADA-Volume,BTC-Open,BTC-High,BTC-Low,BTC-Close,BTC-Volume,ETC-Open,ETC-High,ETC-Low,ETC-Close,ETC-Volume,ETH-Open,ETH-High,ETH-Low,ETH-Close,ETH-Volume,LINK-Open,LINK-High,LINK-Low,LINK-Close,LINK-Volume,LTC-Open,LTC-High,LTC-Low,LTC-Close,LTC-Volume,TRX-Open,TRX-High,TRX-Low,TRX-Close,TRX-Volume,XRP-Open,XRP-High,XRP-Low,XRP-Close,XRP-Volume
0.413573,0.430086,0.405608,0.428465,94896000,14036.59961,16461.19922,14028.90039,16099.79981,13454300160,32.459999,33.987598,31.9694,32.901901,317646016,763.369995,786.789978,760.934998,773.835999,2201159936,0.506289,0.549637,0.435954,0.521421,10452900,273.108002,289.510986,272.261993,286.503998,842993024,0.035748,0.045473,0.032838,0.037832,263744992,1.12174,1.19131,1.09062,1.18949,938846976
0.427107,0.430827,0.401098,0.414176,82067504,16163.5,16930.90039,15114.29981,15838.5,12487600128,32.830002,33.216801,31.262199,32.1353,217743008,774.969971,789.252991,738.413025,762.84198,2100029952,0.51571,0.530669,0.460536,0.505501,6065390,286.588989,290.944,264.423004,272.174011,777137984,0.03783,0.041325,0.035362,0.036831,173156000,1.18422,1.46846,1.18234,1.39964,2854259968
0.41202,0.418934,0.367887,0.407701,82263800,15864.09961,15888.40039,13937.29981,14606.5,12336499712,32.159599,32.240101,28.2815,29.526501,307104000,762.208008,763.31897,701.187012,737.02301,2389149952,0.502782,0.513637,0.436507,0.506697,5458410,272.126007,273.177002,231.376999,249.929993,2593240064,0.036722,0.041974,0.032258,0.041974,261940992,1.39389,1.5008,1.25865,1.43088,2843300096
0.410457,0.556879,0.403945,0.529299,266403008,14695.79981,15279,14307,14656.2002,13025500160,29.6458,30.665501,28.161301,30.0345,239663008,740.388977,770.117004,729.607971,753.59198,2648969984,0.508161,0.518447,0.46116,0.486348,5757530,250.352005,258.040985,238.332993,245.501999,1392210048,0.042007,0.043162,0.034757,0.036348,246896992,1.43957,2.26515,1.43658,2.2146,7545739776
0.528316,0.777385,0.471556,0.639243,645155968,14681.90039,14681.90039,12350.09961,12952.2002,14452599808,30.038401,30.038401,26.249701,26.9158,241644992,753.815002,753.815002,685.231018,717.257019,3187780096,0.488004,0.586128,0.433333,0.586128,9126190,245.087006,245.432999,208.197006,218.962997,943667008,0.036357,0.038796,0.031117,0.036413,256698000,2.199,2.85453,2.03517,2.15902,8108389888
0.642581,0.754446,0.642297,0.719695,305947008,12897.7002,14377.40039,12755.59961,14156.40039,12136299520,26.7374,28.427601,26.638599,27.997999,169331008,712.211975,760.348022,710.119019,756.732971,2554269952,0.558809,0.613538,0.524516,0.601552,9962080,216.975006,237.791,213.811005,232.095993,771041984,0.036129,0.045258,0.034681,0.044752,375152000,2.0951,2.392,1.8703,2.30057,4642079744
0.718847,0.730051,0.671941,0.728657,150186000,14112.2002,14112.2002,13154.7002,13657.2002,10291200000,28.048599,37.031799,27.3239,34.1679,870412992,755.757019,782.530029,742.004028,772.640991,2595760128,0.600415,0.736103,0.574218,0.733563,11506300,231.666,236.634003,222.203003,229.033005,633142016,0.044682,0.052813,0.0434,0.051695,516798016,2.29602,2.39103,2.14897,2.39103,1894230016
0.724676,0.794646,0.697856,0.782587,289712000,13625,15444.59961,13163.59961,14982.09961,16846600192,34.461899,38.034901,34.051201,34.917099,615984000,772.346008,914.830017,772.346008,884.44397,5783349760,0.729082,0.764335,0.585715,0.673712,12671100,228.990005,263.625,228.990005,255.684006,1237949952,0.05207,0.086989,0.05207,0.078682,1604039936,2.36948,2.48919,2.24793,2.4809,3171010048
0.779681,1.08567,0.778578,1.07966,657398016,14978.2002,15572.79981,14844.5,15201,16871900160,34.9114,35.5079,32.841801,34.8634,910507008,886,974.471008,868.450989,962.719971,5093159936,0.669799,0.70425,0.629135,0.681167,8620400,255.695007,260.742004,243.134995,245.367996,3215280128,0.078648,0.094703,0.068306,0.094703,1136850048,2.4641,3.27938,2.44315,3.10537,6635879936
1.09403,1.32721,1.03765,1.11412,593430016,15270.7002,15739.7002,14522.2002,15599.2002,21783199744,34.442902,39.354,32.311298,36.318001,1733939968,961.713013,1045.079956,946.085999,980.921997,6502859776,0.680094,1.02215,0.680094,0.984368,24679000,245.475006,245.475006,227.013,241.369995,3481550080,0.09492,0.217114,0.09492,0.207974,4089410048,3.11734,3.84194,3.11734,3.19663,8103660032
